공모명,분야,주최 기관,조회수,링크,이미지,응모대상,접수기간,1등 상금,홈페이지
"곽재선문화재단 제2회 청년작가 공모 (FLY, YOUNG ARTIST)",분야 : 예체능/미술/음악,재단법인 곽재선 문화재단,289,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93417,/upload/contest/20241115190659_5b3091bb.jpg,"대학생, 기타",2024-11-14 ~ 2024-12-31,,https://www.kjscf.or.kr/?page_id=903&mod=document&uid=33
2025 서울국제정원박람회 작가정원 국제공모,분야 : 건축/건설/인테리어,서울특별시,353,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93414,/upload/contest/20241115210306_d077f210.jpg,기타,2024-12-16 ~ 2024-12-18,"1,000만원",https://news.seoul.go.kr/env/archives/560834
제6회 TS 보안 허점을 찾아라 공모전,분야 : 게임/소프트웨어,한국교통안전공단,351,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93412,/upload/contest/20241115181655_10af54d6.jpg,"일반인, 대학생",2024-11-15 ~ 2024-11-22,300만원,https://main.kotsa.or.kr/portal/bbs/notice_view.do?bbscCode=notice&cateCode=&bbscSeqn=18222&pageNumb=1&sechCdtn=&sechKywd=&menuCode=05010100
[증평군청소년상담복지센터] 2024 학교폭력예방 사진 공모전,분야 : 영상/UCC/사진,증평군청소년상담복지센터,263,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93411,/upload/contest/20241115205434_ae26849c.jpg,기타,2024-11-14 ~ 2024-12-09,,http://www.jp1388.or.kr/sub.php?menukey=28&id=notice&idx=429
2024 제3회 예산 글로벌푸드 챔피언십 요리대회,"분야 : 예체능/미술/음악, 기타",예산군,203,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93409,/upload/contest/20241115180357_044802be.jpg,제한없음,2024-11-11 ~ 2024-11-26,,https://edutheborn.com/개발원스토리/?board_name=thebornstory2&order_by=fn_pid&order_type=desc&vid=1
2024 예술누림(운영시설형) 수기 공모전,분야 : 기타,한국문화예술교육진흥원,112,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93407,/upload/contest/20241115203447_8290d51c.jpg,기타,2024-11-06 ~ 2024-11-30,,https://nurim.arte.or.kr/board/notice/1035
토지문화재단 2025년도 문인 창작실 입주 공모(상반기 1-2월),분야 : 기타,토지문화재단,109,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93406,/upload/contest/20241115201038_498db4d2.jpg,기타,2024-11-01 ~ 2024-11-30,,https://tojicf.com/sub/sub04_02.php?boardid=event&mode=view&idx=73&sk=&sw=&offset=&category=
제1회 청와대 모바일 사진전 공모전,분야 : 영상/UCC/사진,청와대재단,639,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93399,/upload/contest/20241114181017_9ea5aaf3.jpg,제한없음,2024-11-06 ~ 2024-11-27,200만원,https://www.instagram.com/cheongwadae_korea/
육아하는 돌봄 아빠 사진 공모전,분야 : 영상/UCC/사진,사천시,310,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93398,/upload/contest/20241114220550_d39b45e2.jpg,기타,2024-10-28 ~ 2024-11-22,50만원,https://blog.naver.com/sacheoncity/223633346547
60초에 도전하라! 싱어미닛 참가자 및 기자단 모집,분야 : 영상/UCC/사진,한국음악저작권협회,449,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93397,/upload/contest/20241114170458_df2ba5f9.jpg,제한없음,2024-11-11 ~ 2024-12-06,"100,000,000원",https://www.komca-singaminute-apply.kr/
2025 책읽는 도시 남양주 슬로건 공모전,분야 : 네이밍/슬로건,남양주시,917,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93396,/upload/contest/20241114220130_d20bb90b.jpg,기타,2024-11-01 ~ 2024-11-30,30만원,https://blog.naver.com/nyjloving/223628914996
보타닉가든 화성 동부권 공공정원화 설계공모,분야 : 건축/건설/인테리어,화성시,275,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93394,/upload/contest/20241114212854_621f64a5.jpg,기타,2024-11-06 ~ 2024-12-05,,https://www.hscity.go.kr/
세종사이버대학교 국방융합학과 AI 제작 로고송 공모전,분야 : 예체능/미술/음악,세종사이버대학교 국방융합학과,239,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93393,/upload/contest/20241114205500_357f7830.jpg,기타,2024-11-05 ~ 2024-11-23,70만원,https://cms.sjcu.ac.kr/military/news/notice.do?mode=view&articleNo=128199
식품의약품안전처 제13기 누리소통기자단 모집,분야 : 대외활동/서포터즈,식품의약품안전처,833,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93391,/upload/contest/20241114145239_3fc36eb9.jpg,제한없음,2024-11-11 ~ 2024-11-25,,https://blog.naver.com/kfdazzang/223655417126
